rev-sym,iata-req,onu,Nombre apropiado de envío/Descripción,Clase o Div. (Peligros sec.),Etiqueta(s) de peligro,Grp. De emb.,EQ,APCCL-embalaje,APCCL-neta-máx-bulto,APC-embalaje,APC-neta-máx-bulto,AC-embalaje,AC-neta-máx-bulto,Disp-espec,CRE,ingles
,,,"Aceite cáustico de arsénico, ver Tricloruro de arsénico (UN 1560)",,,,,,,,,,,,,
,,,"Aceite combustible, ver Gasóleo (UN 1202)",,,,,,,,,,,,,
,,,"Aceite de alquitrán de hulla, ver Destilados de alquitrán de hulla, inflamables (UN 1136)",,,,,,,,,,,,,
,,,"Aceite de anilina, ver Anilina (UN 1547)",,,,,,,,,,,,,
,,,"Aceite de creosota, ver Alquitranes, líquidos (UN 1999)",,,,,,,,,,,,,
,,,"Aceite de mirbana, ver Nitrobenceno (UN 1662)",,,,,,,,,,,,,
,,,"Aceite de tung (derivados), ver Líquido inflamable, tóxico, n.e.p. ★ (UN 1992) o Líquido inflamable, n.e.p. ★ (UN 1993) o Líquido inflamable, corrosivo, n.e.p. ★ (UN 2924)",,,,,,,,,,,,,
,,,"Aceite mineral, ver Productos del petróleo, n.e.p. (UN 1268)",,,,,,,,,,,,,
,,,"Aceite pesado, ver Gasóleo (UN 1202)",,,,,,,,,,,,,
,,,"Aceites de cetona, ver Aceites de acetona (UN 1091)",,,,,,,,,,,,,
,,,"Acelereno, ver p-Nitroso-dimetilanilina (UN 1369)",,,,,,,,,,,,,
,,,"Acero, virutas de, ver Virutas de metales ferrosos (UN 2793)",,,,,,,,,,,,,
,,,"Acetato de butilo, iso, ver Acetato de isobutilo (UN 1213)",,,,,,,,,,,,,
,,,"Acetato de cellosolve, ver Acetato del éter monoetílico de etilenglicol (UN 1172)",,,,,,,,,,,,,
,,,"Acetato de 2-etoxietilo, ver Acetato del éter monoetílico de etilenglicol (UN 1172)",,,,,,,,,,,,,
,,,"Acetato de metilglicol, ver Acetato del éter monometílico de etilenglicol (UN 1189)",,,,,,,,,,,,,
,,,"Acetato de 2-metoxietilo, ver Acetato del éter monometílico de etilenglicol (UN 1189)",,,,,,,,,,,,,
,,,"Acetato de plomo(II), ver Acetato de plomo (UN 1616)",,,,,,,,,,,,,
,,,"Acetato de vinilo, no estabilizado",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,Acetileno (liquido),,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,Acetiluro de cobre,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Acetiluro de litio y etilendiamina, complejo de, ver Sólido que reacciona con el agua, n.e.p. ★ (UN 2813)",,,,,,,,,,,,,
,,,Acetiluro de mercurio,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,Acetiluro de plata (seco),,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Acetoína, ver Acetilmetilcarbinol (UN 2621)",,,,,,,,,,,,,
,,,"Ácido acrílico, no estabilizado",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Ácido arsenioso, ver Trióxido de arsénico (UN 1561)",,,,,,,,,,,,,
,,,Ácido azaurólico (sal de) (seco),,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,Ácido azidoditiocarbónico,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Ácido bromhídrico, anhidro, ver Bromuro de hidrógeno, anhidro (UN 1048)",,,,,,,,,,,,,
,,,"Ácido butilfosfórico, ver Fosfato ácido de butilo (UN 1718)",,,,,,,,,,,,,
,,,"Ácido carbólico, ver Fenol sólido (UN 1671) o Fenol fundido (UN 2312)",,,,,,,,,,,,,
,,,"Ácido carbólico en solución, ver Fenol en solución (UN 2821)",,,,,,,,,,,,,
,,,"Ácido cianhídrico, anhidro, ver Cianuro de hidrógeno, estabilizado (UN 1051, UN 1614)",,,,,,,,,,,,,
,,,Ácido cianhidrico en solución acuosa con mas del 20% de cianauro de hidrógeno,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Ácido clorhídrico, anhidro, ver Cloruro de hidrógeno, anhidro (UN 1050)",,,,,,,,,,,,,
,,,"Ácido clorhídrico, líquido refrigerado, ver Cloruro de hidrógeno, líquido refrigerado (UN 2186)",,,,,,,,,,,,,
,,,Ácido clórico en solución acuosa con más del 10% de ácido clorhídrico,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Ácido 3-Cloroperoxibenzoico, > 57% y < 86%, cuando está ≥ 14% de un sólido inerte",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Ácido crómico, sólido, ver Trióxido de cromio anhidro (UN 1463)",,,,,,,,,,,,,
,,,"Ácido de arena, ver Ácido fluosilícico (UN 1778)",,,,,,,,,,,,,
,,,"Ácido de Nordhausen, ver Ácido sulfúrico, fumante † (UN 1831)",,,,,,,,,,,,,
,,,"Ácido dicloroisocianúrico, como sal de sodio dihidratada",,,,,No restringido,No restringido,No restringido,No restringido,No restringido,No restringido,,,
,,,"Ácido di-(2-etilhexil) fosfórico, ver Fosfato ácido de diisooctilo (UN 1902)",,,,,,,,,,,,,
,,,"Ácido dimetilarsénico, ver Ácido cacodílico (UN 1572)",,,,,,,,,,,,,
,,,"3,5-Ácido dinitrosalicilico (sal de plomo) (seco)",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Ácido éster 2-diazo-1-naftol sulfónico en mezcla, Tipo D, ver Sólido de reacción espontánea de tipo D ★ (UN 3226)",,,,,,,,,,,,,
,,,"Ácido etilsulfúrico, ver Ácido alquilsulfúrico (UN 2571)",,,,,,,,,,,,,
,,,"Ácido fluorhídrico, anhidro, ver Fluoruro de hidrógeno anhidro (UN 1052)",,,,,,,,,,,,,
,,,"Ácido fluorhídrico y ácido sulfúrico en mezcla, ver Mezcla de ácido fluorhídrico y ácido sulfúrico (UN 1786)",,,,,,,,,,,,,
,,,"Ácido fluórico, ver Ácido fluorhídrico (UN 1790)",,,,,,,,,,,,,
,,,"Ácido fosfórico, anhidro, ver Pentóxido de fósforo (UN 1807)",,,,,,,,,,,,,
,,,Ácido fulmínico,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Ácido hexanoico, ver Ácido caproico (UN 2829)",,,,,,,,,,,,,
,,,"Ácido hidrofluobórico, ver Ácido fluobórico (UN 1775)",,,,,,,,,,,,,
,,,"Ácido hidrofluosilícico, ver Ácido fluosilícico (UN 1778)",,,,,,,,,,,,,
,,,"Ácido hidrosilicofluórico, ver Ácido fluosilícico (UN 1778)",,,,,,,,,,,,,
,,,Ácido hiponitroso,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Ácido isocrotónico, ver Ácido crotónico, líquido (UN 3472)",,,,,,,,,,,,,
,,,"Ácido isopentanoico, ver Líquido corrosivo, n.e.p. ★ (UN 1760)",,,,,,,,,,,,,
,,,"Ácido isopropilfosfórico, ver Fosfato ácido de isopropilo (UN 1793)",,,,,,,,,,,,,
,,,Ácido isotiociánico,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Ácido 2-mercaptopropiónico, ver Ácido tioláctico (UN 2936)",,,,,,,,,,,,,
,,,"Ácido metacrílico, no estabilizado",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,Ácido metazoico,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,Ácido metilpícrico (de sales metálicas pesadas),,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Ácido monocloroacético, ver Ácido cloroacético en solución (UN 1750) o Ácido cloroacético, sólido (UN 1751)",,,,,,,,,,,,,
,,,"Ácido monotetrazolacético, ver Ácido tetrazol-1-acético (UN 0407)",,,,,,,,,,,,,
,,,"Ácido muriático, ver Ácido clorhídrico (UN 1789)",,,,,,,,,,,,,
,,,"Ácido nitrante en mezcla, inestable, todas las concentraciones",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,Ácido-6 nitro-4-diazotolueno-3-sulfónico (seco),,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Ácido nitromuriático, ver Mezcla de ácido clorhídrico y ácido nítrico (UN 1798)",,,,,,,,,,,,,
,,,"Ácido 1,7-octadieno-3,5-diino-1,8-dimetoxi-9- octadecanoico",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Ácido ortofosfórico, ver Ácido fosfórico en solución (UN 1805) o Ácido fosfórico, sólido (UN 3453)",,,,,,,,,,,,,
,,,"Ácido perclórico con una concentración superior al 72% de ácido, en peso",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,Ácido peroxiacético con más del 43% y más del 6% de peróxido de hidrógeno,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Ácido prúsico, ver Cianuro de hidrógeno, estabilizado (UN 1051, UN 1614) o Ácido cianhídrico en solución acuosa (UN 1613) o Cianuro de hidrógeno en solución alcohólica (UN 3294)",,,,,,,,,,,,,
,,,"Ácido selenhídrico, ver Seleniuro de hidrógeno, anhidro (UN 2202)",,,,,,,,,,,,,
,,,"Ácido silicofluórico, ver Ácido fluosilícico (UN 1778)",,,,,,,,,,,,,
,,,"Ácido sucio, ver Lodos ácidos † (UN 1906)",,,,,,,,,,,,,
,,,"Ácido sulfúrico, inestable",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Ácido sulfúrico y ácido fluorhídrico en mezcla, ver Mezcla de ácido fluorhídrico y ácido sulfúrico (UN 1786)",,,,,,,,,,,,,
,,,"Ácido toluensulfónico, ver Ácidos arilsulfónicos, sólidos (UN 2583, UN 2585) o Ácidos arilsulfónicos, líquidos (UN 2584, UN 2586)",,,,,,,,,,,,,
,,,Ácido trinitroacético,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Ácido valérico, ver Líquido corrosivo, ácido, orgánico, n.e.p. ★ (UN 3265)",,,,,,,,,,,,,
,,,"Ácido yodhídrico, anhidro, ver Yoduro de hidrógeno, anhidro (UN 2197)",,,,,,,,,,,,,
,,,"Acraldehido, estabilizado, ver Acroleína, estabilizada (UN 1092)",,,,,,,,,,,,,
,,,"Acrilato de etilo, no estabilizado",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Acrilato de metilo, no estabilizado",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Acrilonitrilo, no estabilizado",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Acroleína dímero, no estabilizado",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Acroleína, no estabilizada",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Actinolita, ver Asbesto anfibol † ★ (UN 2212)",,,,,,,,,,,,,
,,,"Acumuladores eléctricos, húmedos, sin electrólito y totalmente descargados †",,,,,No restringido,No restringido,No restringido,No restringido,No restringido,No restringido,,,
,,,"Acumuladores hidráulicos a presión, que contengan gas no inflamable, ver Objetos hidráulicos a presión (UN 3164)",,,,,,,,,,,,,
,,,"Acumuladores neumáticos a presión, que contengan gas no inflamable, ver Objetos neumáticos a presión (UN 3164)",,,,,,,,,,,,,
,,,"Adhesivos utilizados en la industria del calzado, ver Nitrocelulosa en solución inflamable (UN 2059)",,,,,,,,,,,,,
,,,"Aerosoles, inflamables, que contengan sustancias de la Clase 8, Grupo de Embalaje I",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Aerosoles, inflamables, que contengan sustancias de la División 6.1, Grupo de Embalaje I",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Aerosoles, no inflamables, que contengan sustancias de la Clase 8, Grupo de Embalaje I",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Aerosoles, no inflamables que contengan sustancias de la División 6.1, Grupo de Embalaje I",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Agente etiológico, ver Sustancia infecciosa para el ser humano ★ (UN 2814) o Sustancia infecciosa para los animales ★ (UN 2900)",,,,,,,,,,,,,
,,,"Agentes irritantes, ver Gas lacrimógeno, sustancia líquida para la fabricación de, n.e.p. ★ (UN 1693) o Gas lacrimógeno, sustancia sólida para la fabricación de, n.e.p. ★ (UN 3448)",,,,,,,,,,,,,
,,,"Aglomerantes para carreteras, ver Alquitranes, líquidos (UN 1999)",,,,,,,,,,,,,
,,,"Agua amoniacal, ver Amoníaco en solución (UN 2073, UN 2672, UN 3318)",,,,,,,,,,,,,
,,,"Agua oxigenada, ver Peróxido de hidrógeno en solución acuosa (UN 2014) o Peróxido de hidrógeno en solución acuosa estabilizada (UN 2015) o Peróxido de hidrógeno en solución acuosa con menos del 8% de peróxido de hidrógeno (estabilizada según sea necesario) (UN 2984)",,,,,,,,,,,,,
,,,"Agua oxigenada sólida, ver Urea-agua oxigenada (UN 1511)",,,,,,,,,,,,,
,,,"Agua regia, ver Mezcla de ácido clorhídrico y ácido nítrico (UN 1798)",,,,,,,,,,,,,
,,,"Aguarrás mineral, ver Sucedáneo de trementina † (UN 1300)",,,,,,,,,,,,,
,,,"Aguas de colonia, ver Productos de perfumería (UN 1266)",,,,,,,,,,,,,
,,,"Alcohol desnaturalizado, ver Alcoholes inflamables, tóxicos, n.e.p. ★ (UN 1986) o Alcoholes, n.e.p. ★ (UN 1987)",,,,,,,,,,,,,
,,,"Alcoholes amílicos, ver Pentanoles (UN 1105)",,,,,,,,,,,,,
,,,"Alcoholes butílicos, ver Butanoles (UN 1120)",,,,,,,,,,,,,
,,,"Alcohol industrial, ver Alcoholes inflamables, tóxicos, n.e.p. ★ (UN 1986) o Alcoholes, n.e.p. ★ (UN 1987)",,,,,,,,,,,,,
,,,"Alcohol metilalílico, ver Alcohol metalílico (UN 2614)",,,,,,,,,,,,,
,,,"Alcohol metilamílico, ver Metilisobutilcarbinol (UN 2053)",,,,,,,,,,,,,
,,,"Alcohol metílico, ver Metanol (UN 1230)",,,,,,,,,,,,,
,,,"Alcohol terciario, ver Alcoholes, n.e.p. ★ (UN 1987)",,,,,,,,,,,,,
,,,"Aldehído, ver Aldehídos, n.e.p. ★ (UN 1989)",,,,,,,,,,,,,
,,,"Aldehido acético, ver Acetaldehído (UN 1089)",,,,,,,,,,,,,
,,,"Aldehído amílico, ver Valerilaldehído (UN 2058)",,,,,,,,,,,,,
,,,"Aldehído amónico, ver Acetaldehído amónico (UN 1841)",,,,,,,,,,,,,
,,,"Aldehído butílico, ver Butiraldehído (UN 1129)",,,,,,,,,,,,,
,,,"Aldehído crotónico, estabilizado, ver Crotonaldehído (UN 1143) o Crotonaldehído, estabilizado (UN 1143)",,,,,,,,,,,,,
,,,"Aldehído 2-etilbutíraldehído, ver 2-Etilbutiraldehido (UN 1178)",,,,,,,,,,,,,
,,,"Aldehído etílico, ver Acetaldehído (UN 1089)",,,,,,,,,,,,,
,,,"Aldehído fórmico, ver Formaldehído en solución inflamable (UN 1198) o Formaldehído en solución (UN 2209)",,,,,,,,,,,,,
,,,"Aldehído isovaleriánico, ver Valerilaldehído (UN 2058)",,,,,,,,,,,,,
,,,"Aldehído propílico, ver Propionaldehído (UN 1275)",,,,,,,,,,,,,
,,,"Aldehído valérico, ver Valerilaldehído (UN 2058)",,,,,,,,,,,,,
,,,"Aleno, ver Propadieno, estabilizado (UN 2200)",,,,,,,,,,,,,
,,,"Algodón, borra grasienta de, ver Desechos grasientos de algodón (UN 1364)",,,,,,,,,,,,,
,,,"Algodones de colodion, ver Nitrocelulosa (UN 0340) o Nitrocelulosa en mezcla con plastificante, con pigmento (UN 2557) o Nitrocelulosa en mezcla con plastificante, sin pigmento (UN 2557) o Nitrocelulosa en mezcla sin plastificante, con pigmento (UN 2557)",,,,,,,,,,,,,
,,,"Algodón, semilla, fibra, corteza, línter, pulpa, borra y bagazo de, impregnados de aceite animal o vegetal, ver Fibras de origen vegetal, n.e.p. (UN 1373) o Tejidos de origen vegetal, n.e.p. (UN 1373)",,,,,,,,,,,,,
,,,"Aliltriclorosilano, no estabilizado",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Alquilos de aluminio, ver Sustancia organometálica, líquida, pirofórica, que reacciona con el agua ★ (UN 3394)",,,,,,,,,,,,,
,,,"Alquilos de litio, líquidos, ver Sustancia organometálica, líquida, pirofórica, que reacciona con el agua ★ (UN 3394)",,,,,,,,,,,,,
,,,"Alquilos de litio, sólidos, ver Sustancia organometálica, sólida, pirofórica, que reacciona con el agua ★ (UN 3393)",,,,,,,,,,,,,
,,,"Alquilos de magnesio, ver Sustancia organometálica, líquida, pirofórica, que reacciona con el agua ★ (UN 3394)",,,,,,,,,,,,,
,,,"Alquitrán de hulla, crudo y solventes, ver Productos del petróleo, n.e.p. (UN 1268)",,,,,,,,,,,,,
,,,"Alquitrán de hulla, destilados, ver Destilados de alquitrán de hulla, inflamables (UN 1136)",,,,,,,,,,,,,
,,,"Altos explosivos, ver los articulos correspondientes a cada uno de ellos",,,,,,,,,,,,,
,,,"Aluminio, escoria caliente del",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Aluminio escoria de, ver Subproductos fundidos del aluminio † (UN 3170) o Subproductos refundidos del aluminio † (UN 3170)",,,,,,,,,,,,,
,,,"Aluminio, escoria húmedecida del",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Aluminio líquido, ver Pintura (UN 1263)",,,,,,,,,,,,,
,,,"Aluminiosilicio en polvo, recubierto",,,,,No restringido,No restringido,No restringido,No restringido,No restringido,No restringido,,,
,,,"Amalgama de sodio, ver Metales alcalinos, amalgama líquida de (UN 1389) o Metales alcalinos, amalgama sólida de (UN 3401)",,,,,,,,,,,,,
,,,"Amatoles, ver Explosivos para voladuras, Tipo B † (UN 0082, UN 0331)",,,,,,,,,,,,,
,,,"Amianto azul, ver Asbesto anfibol † ★ (UN 2212)",,,,,,,,,,,,,
,,,"Amianto blanco, ver Asbesto crisotilo † (UN 2590)",,,,,,,,,,,,,
,,,"Amianto marrón, ver Asbesto anfibol † ★ (UN 2212)",,,,,,,,,,,,,
,,,"Amida de litio, ver Amidas de metales alcalinos (UN 1390)",,,,,,,,,,,,,
,,,"Amida de sodio, ver Amidas de metales alcalinos (UN 1390)",,,,,,,,,,,,,
,,,"terc-Amilperoxi-3,5,5-trimetilhexanato, ver Peróxido orgánico de tipo D, líquido † ★ (UN 3105)",,,,,,,,,,,,,
,,,Amina azida de cobre,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Aminobenceno, ver Anilina (UN 1547)",,,,,,,,,,,,,
,,,"3-Amino benzotrifluoruo, ver 3-Trifluorometilanilina (UN 2948)",,,,,,,,,,,,,
,,,"2-Amino benzotrifluoruro, ver 2-Trifluorometilanilina (UN 2942)",,,,,,,,,,,,,
,,,"Aminobutano, ver n-Butilamina (UN 1125)",,,,,,,,,,,,,
,,,"4-Aminofenilarsenato de sodio e hidrógeno, ver Arsanilato sódico (UN 2473)",,,,,,,,,,,,,
,,,"1-Amino-4-nitrobenceno, ver Nitroanilinas (UN 1661)",,,,,,,,,,,,,
,,,"1-Amino-3-nitrobenceno, ver Nitroanilinas (UN 1661)",,,,,,,,,,,,,
,,,"1-Amino-2-nitrobenceno, ver Nitroanilinas (UN 1661)",,,,,,,,,,,,,
,,,Aminoperclorato de naftilo,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Aminopropildietanolamina, ver Aminas líquidas, corrosivas, n.e.p. ★ (UN 2735)",,,,,,,,,,,,,
,,,"n-Aminopropilmorfolina, ver Aminas líquidas, corrosivas, n.e.p. ★ (UN 2735)",,,,,,,,,,,,,
,,,"Amoniaco libre, ver Soluciones amoniacales fertilizantes (UN 1043)",,,,,,,,,,,,,
,,,"Amosita, ver Asbesto anfibol † ★ (UN 2212)",,,,,,,,,,,,,
,,,"Anhídrido arsenico, ver Pentóxido de arsénico (UN 1559)",,,,,,,,,,,,,
,,,"Anhidrido arsenioso, ver Trióxido de arsénico (UN 1561)",,,,,,,,,,,,,
,,,"Anhídrido carbónico, ver Dióxido de carbono (UN 1013)",,,,,,,,,,,,,
,,,"Anhídrido crómico, sólido, ver Trióxido de cromio anhidro (UN 1463)",,,,,,,,,,,,,
,,,"Anhídrido de ácido ósmico, ver Tetróxido de osmio (UN 2471)",,,,,,,,,,,,,
,,,"Anhídrido fósforico, ver Pentóxido de fósforo (UN 1807)",,,,,,,,,,,,,
,,,"Anhídrido sulfúrico, ver Trióxido de azufre estabilizado (UN 1829)",,,,,,,,,,,,,
,,,"Anhidrido sulfuroso, ver Dióxido de azufre (UN 1079)",,,,,,,,,,,,,
,,,"Anticongelante, ver Líquido inflamable, n.e.p. ★ (UN 1993)",,,,,,,,,,,,,
,,,"Antimonio cáustico, ver Tricloruro de antimonio † (UN 1733)",,,,,,,,,,,,,
,,,"Antofilita, ver Asbesto anfibol † ★ (UN 2212)",,,,,,,,,,,,,
,,,"Antu, ver Naftiltiourea (UN 1651)",,,,,,,,,,,,,
,,,"Aprestos líquidos, ver Pintura (UN 1263)",,,,,,,,,,,,,
,,,"Aprestos para cueros † , ver Líquido inflamable, n.e.p. ★ (UN 1993)",,,,,,,,,,,,,
,,,"Arseniato de cinc y arsenito de cinc en mezcla, ver Mezcla de arseniato de cinc y arsenito de cinc (UN 1712)",,,,,,,,,,,,,
,,,"Arseniato de níquel, sólido, ver Arsénico, compuesto sólido de, n.e.p. ★ (UN 1557)",,,,,,,,,,,,,
,,,"Arseniatos, n.e.p. , ver Arsénico, compuesto líquido de, n.e.p. ★ (UN 1556) o Arsénico, compuesto sólido de, n.e.p. ★ (UN 1557)",,,,,,,,,,,,,
,,,"Arsénico blanco, ver Trióxido de arsénico (UN 1561)",,,,,,,,,,,,,
,,,"Arsénico líquido fumante, ver Tricloruro de arsénico (UN 1560)",,,,,,,,,,,,,
,,,"Arsenito de cobre(II), ver Arsenito de cobre (UN 1586)",,,,,,,,,,,,,
,,,"Arsenitos, n.e.p. , ver Arsénico, compuesto líquido de, n.e.p. ★ (UN 1556) o Arsénico, compuesto sólido de, n.e.p. ★ (UN 1557)",,,,,,,,,,,,,
,,,"Arseniuro de hidrógeno, ver Arsina (UN 2188)",,,,,,,,,,,,,
,,,"Artículo que produce calor
equipo operado por batería, tal como una linterna sub acuática o equipo para soldar bajo el agua, los cuales, de ser activados accidentalmente, generarán un calor extremo capaz de producir un incendio",9,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,A93,,
,,,"Articulos explosivos o pirofóricos, ver Objetos explosivos, n.e.p. ★ (UN 0349) o Objetos pirofóricos † (UN 0380)",,,,,,,,,,,,,
,,,"Artificios de potencia, explosivo, ver Cartuchos de accionamiento † (UN 0275, UN 0276, UN 0323, UN 0381)",,,,,,,,,,,,,
,,,"Artificios para señales en carretera, ver Artificios manuales de pirotecnia para señales † (UN 0191, UN 0373) o Artificios de pirotecnia † (UN 0333, UN 0334, UN 0335, UN 0336, UN 0337)",,,,,,,,,,,,,
,,,Ascaridol,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Asfalto para carreteras, ver Alquitranes, líquidos (UN 1999)",,,,,,,,,,,,,
,,,"Asfaltos rebajados, ver Alquitranes, líquidos (UN 1999)",,,,,,,,,,,,,
,,,"Automóviles, ver Vehículo propulsado por gas inflamable † (UN 3166) o Vehículo propulsado por líquido inflamable † (UN 3166) o Vehículo accionado por batería (UN 3171)",,,,,,,,,,,,,
,,,"Aviones, ver Vehículo propulsado por gas inflamable † (UN 3166) o Vehículo propulsado por líquido inflamable † (UN 3166)",,,,,,,,,,,,,
,,,"Ayudas motrices, ver Aparato accionado por batería (UN 3171) o Vehículo accionado por batería (UN 3171)",,,,,,,,,,,,,
,,,Azida amónica,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,Azida de benzoilo,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,Azida de bromo,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,Azida de tert-butoxicarbonilo,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,Azida de cloro,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,Azida de hidracina,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,Azida de plata (seca),,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Azida de plomo, humidificada con menos del 20% de agua o de una mezcla de alcohol y agua, en peso",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,Azida de plomo (seca),,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,Azida de tetrazolilo (seca),,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,Azida de yodo (seca),,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,5-Azida-hidroxitetrazol,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,Azida hidroxitetrazol (sales de mercurio y plata),,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,Azida mercuriosa,,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Azodicarbonamida, formulación del tipo B de temperatura controlada",,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"2,2'-Azodi-(2,4-dimetil-4-metoxivaleronitrilo), ver Sólido de reacción espontánea de tipo D, temperatura controlada ★ (UN 3236)",,,,,,,,,,,,,
,,,"2,2'-Azodi-(2,4-dimetilvaleronitrilo), ver Sólido de reacción espontánea de tipo D, temperatura controlada ★ (UN 3236)",,,,,,,,,,,,,
,,,"1,1'-Azodi-(hexahidrobenzonitrilo), ver Sólido de reacción espontánea de tipo D ★ (UN 3226)",,,,,,,,,,,,,
,,,"Azodiisobutironitrilo, ver Sólido de reacción espontánea de tipo C, temperatura controlada ★ (UN 3234)",,,,,,,,,,,,,
,,,"2,2'-Azodi-(2-metilbutironitrilo), ver Sólido de reacción espontánea de tipo D, temperatura controlada ★ (UN 3236)",,,,,,,,,,,,,
,,,"Azogue, ver Mercurio (UN 2809)",,,,,,,,,,,,,
,,,Azotetrazol (seco),,,,,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,Prohibido,,,
,,,"Bagazo, ver Torta oleaginosa (UN 1386, UN 2217)",,,,,,,,,,,,,
,,,"Balistita, ver Pólvora sin humo † (UN 0160, UN 0161)",,,,,,,,,,,,,
